Date,MSCI Europe
04/1993,62702.20261330452
05/1993,63533.03377884819
06/1993,64431.876421489804
07/1993,67395.12896976151
08/1993,73869.27255782275
09/1993,70712.05363118321
10/1993,74522.60760505174
11/1993,74872.20451592845
12/1993,80457.79813529708
01/1994,85701.70832852247
02/1994,82348.67360716009
03/1994,78363.60183196397
04/1994,81845.15847756594
05/1994,76681.79088252869
06/1994,74644.57469654524
07/1994,76135.60746472453
08/1994,78640.66103492989
09/1994,74713.00497073455
10/1994,76477.69139374807
11/1994,74641.91169988766
12/1994,76601.45689148775
01/1995,74448.44445142685
02/1995,75301.85690942347
03/1995,75734.43878558856
04/1995,76661.10717859789
05/1995,79439.43419753008
06/1995,79519.27730579788
07/1995,82691.95993411158
08/1995,81902.16057586223
09/1995,85458.81471096216
10/1995,83732.02337453428
11/1995,84509.63897757525
12/1995,88568.5391275231
01/1996,90229.87394249806
02/1996,92401.54684072587
03/1996,93446.77920722445
04/1996,94925.44105477007
05/1996,96819.34801743313
06/1996,97126.30695159966
07/1996,94452.36388405258
08/1996,96373.49534769994
09/1996,99254.18434969417
10/1996,101874.36121012556
11/1996,105663.002225131
12/1996,110093.67345228486
01/1997,113394.91255114411
02/1997,119899.0265532967
03/1997,125208.0233934698
04/1997,125263.08230699584
05/1997,130212.3564046818
06/1997,138263.141040505
07/1997,148769.68828711778
08/1997,144270.3123901679
09/1997,154110.01373729136
10/1997,143872.08261780583
11/1997,143076.52032179185
12/1997,152306.9425628086
01/1998,162296.12505623905
02/1998,174599.42353185
03/1998,187723.12544201573
04/1998,190068.01462715305
05/1998,190964.59196421836
06/1998,194458.87391678273
07/1998,198769.7259182535
08/1998,173059.46589096246
09/1998,158389.36593233154
10/1998,164748.37256883297
11/1998,178534.4503220797
12/1998,185151.65174983683
01/1999,189970.89849880905
02/1999,191299.89964086635
03/1999,198356.27352640926
04/1999,207061.62858034516
05/1999,199774.98007203953
06/1999,205664.62356191827
07/1999,200470.60412794363
08/1999,204824.72084119305
09/1999,201492.48589808855
10/1999,213143.54263080802
11/1999,226609.40716812492
12/1999,251104.19641533372
01/2000,239293.72016624836
02/2000,253768.37308380497
03/2000,264276.8884317603
04/2000,265623.6214834234
05/2000,257278.07679654894
06/2000,255843.14792186866
07/2000,260281.06222037764
08/2000,266950.8826505892
09/2000,258545.87258466138
10/2000,267193.85146230203
11/2000,248950.3148206783
12/2000,248351.09230196
01/2001,248785.6633784251
02/2001,228049.38814956535
03/2001,220979.69870039643
