Entity,Code,Year,CO₂ emissions per capita
France,FRA,2023,4.067842
France,FRA,2024,3.969368
Germany,DEU,1996,11.666093
Germany,DEU,1997,11.306132
Germany,DEU,1998,11.26054
Germany,DEU,1999,10.9630375
Germany,DEU,2000,10.990293
Germany,DEU,2001,11.1706505
Germany,DEU,2002,10.952268
Germany,DEU,2003,10.893722
Germany,DEU,2004,10.677804
Germany,DEU,2005,10.57788
Germany,DEU,2006,10.849607
Germany,DEU,2007,10.407971
Germany,DEU,2008,10.561389
Germany,DEU,2009,9.760688
Germany,DEU,2010,10.22758
Germany,DEU,2011,9.95007
Germany,DEU,2012,10.060916
Germany,DEU,2013,10.263195
Germany,DEU,2014,9.739761
Germany,DEU,2015,9.756902
Germany,DEU,2016,9.642186
Germany,DEU,2017,9.441122
Germany,DEU,2018,9.101415
Germany,DEU,2019,8.480803
Germany,DEU,2020,7.738692
Germany,DEU,2021,8.100614
Germany,DEU,2022,7.942359
Germany,DEU,2023,7.022808
Germany,DEU,2024,6.7688236
Greece,GRC,1996,8.430785
Greece,GRC,1997,8.830563
Greece,GRC,1998,9.238181
Greece,GRC,1999,9.128898
Greece,GRC,2000,9.549867
Greece,GRC,2001,9.716853
Greece,GRC,2002,9.641644
Greece,GRC,2003,9.989182
Greece,GRC,2004,10.0010195
Greece,GRC,2005,10.371121
Greece,GRC,2006,10.205
Greece,GRC,2007,10.370105
Greece,GRC,2008,10.028104
Greece,GRC,2009,9.391326
Greece,GRC,2010,8.751197
Greece,GRC,2011,8.507211
Greece,GRC,2012,8.272102
Greece,GRC,2013,7.4504676
Greece,GRC,2014,7.218808
Greece,GRC,2015,6.924253
Greece,GRC,2016,6.6223903
Greece,GRC,2017,6.959737
Greece,GRC,2018,6.6889496
Greece,GRC,2019,6.132932
Greece,GRC,2020,5.1944113
Greece,GRC,2021,5.4376464
Greece,GRC,2022,5.532692
Greece,GRC,2023,5.0755324
Greece,GRC,2024,5.310692
Ireland,IRL,1996,10.298033
Ireland,IRL,1997,10.566967
Ireland,IRL,1998,10.969448
Ireland,IRL,1999,11.3085575
Ireland,IRL,2000,11.89966
Ireland,IRL,2001,12.324086
Ireland,IRL,2002,11.730197
Ireland,IRL,2003,11.441199
Ireland,IRL,2004,11.354153
Ireland,IRL,2005,11.588379
Ireland,IRL,2006,11.150127
Ireland,IRL,2007,10.847387
Ireland,IRL,2008,10.557548
Ireland,IRL,2009,9.302911
Ireland,IRL,2010,9.1665125
Ireland,IRL,2011,8.309539
Ireland,IRL,2012,8.309304
Ireland,IRL,2013,8.060807
Ireland,IRL,2014,7.910693
Ireland,IRL,2015,8.2329445
Ireland,IRL,2016,8.492474
Ireland,IRL,2017,8.116082
Ireland,IRL,2018,7.9880743
Ireland,IRL,2019,7.540263
Ireland,IRL,2020,7.0349927
Ireland,IRL,2021,7.4523654
Ireland,IRL,2022,7.177214
Ireland,IRL,2023,6.4595604
Ireland,IRL,2024,6.3388243
Italy,ITA,1996,7.7471423
Italy,ITA,1997,7.8436203
Italy,ITA,1998,8.054232
Italy,ITA,1999,8.132449
Italy,ITA,2000,8.19941
Italy,ITA,2001,8.196022
Italy,ITA,2002,8.309492
Italy,ITA,2003,8.574582
Italy,ITA,2004,8.606314
Italy,ITA,2005,8.567466
Italy,ITA,2006,8.443186
Italy,ITA,2007,8.286317
Italy,ITA,2008,8.027509
Italy,ITA,2009,7.078524
Italy,ITA,2010,7.2413816
Italy,ITA,2011,7.0218983
Italy,ITA,2012,6.665015
Italy,ITA,2013,6.0912943
Italy,ITA,2014,5.7593956
Italy,ITA,2015,5.9635468
Italy,ITA,2016,5.9216995
Italy,ITA,2017,5.8397813
Italy,ITA,2018,5.790691
Italy,ITA,2019,5.6483817
Italy,ITA,2020,5.0506783
Italy,ITA,2021,5.6242104
Italy,ITA,2022,5.704794
Italy,ITA,2023,5.248631
Italy,ITA,2024,5.087886
Latvia,LVA,1996,3.7477655
Latvia,LVA,1997,3.5672417
Latvia,LVA,1998,3.446172
Latvia,LVA,1999,3.2281199
Latvia,LVA,2000,2.990149
Latvia,LVA,2001,3.2059655
Latvia,LVA,2002,3.2536795
Latvia,LVA,2003,3.3753157
Latvia,LVA,2004,3.41457
Latvia,LVA,2005,3.48728
Latvia,LVA,2006,3.7449162
Latvia,LVA,2007,3.9246342
Latvia,LVA,2008,3.7645316
Latvia,LVA,2009,3.480879
Latvia,LVA,2010,4.0777874
Latvia,LVA,2011,3.7906103
Latvia,LVA,2012,3.6958487
Latvia,LVA,2013,3.660572
Latvia,LVA,2014,3.5966146
Latvia,LVA,2015,3.671832
Latvia,LVA,2016,3.6791766
Latvia,LVA,2017,3.714261
Latvia,LVA,2018,4.0689178
Latvia,LVA,2019,3.9876633
Latvia,LVA,2020,3.681657
Latvia,LVA,2021,3.8281586
Latvia,LVA,2022,3.5129132
Latvia,LVA,2023,3.5007896
Latvia,LVA,2024,3.4520962
Lithuania,LTU,1996,4.372551
Lithuania,LTU,1997,4.243233
Lithuania,LTU,1998,4.509047
Lithuania,LTU,1999,3.8177571
Lithuania,LTU,2000,3.383328
Lithuania,LTU,2001,3.6261756
Lithuania,LTU,2002,3.6776543
Lithuania,LTU,2003,3.706708
Lithuania,LTU,2004,3.9251728
Lithuania,LTU,2005,4.17262
Lithuania,LTU,2006,4.3413134
Lithuania,LTU,2007,4.7885156
Lithuania,LTU,2008,4.664335
Lithuania,LTU,2009,4.055672
Lithuania,LTU,2010,4.4554987
Lithuania,LTU,2011,4.6092105
Lithuania,LTU,2012,4.7030005
Lithuania,LTU,2013,4.4444146
Lithuania,LTU,2014,4.379493
Lithuania,LTU,2015,4.4894176
Lithuania,LTU,2016,4.5664067
Lithuania,LTU,2017,4.6927924
Lithuania,LTU,2018,4.7866178
Lithuania,LTU,2019,4.8826694
Lithuania,LTU,2020,4.8285885
Lithuania,LTU,2021,4.9304504
Lithuania,LTU,2022,4.5777125
Lithuania,LTU,2023,4.3822517
Lithuania,LTU,2024,4.386505
Luxembourg,LUX,1996,22.199514
Luxembourg,LUX,1997,20.402363
Luxembourg,LUX,1998,18.051826
Luxembourg,LUX,1999,18.886122
Luxembourg,LUX,2000,19.95295
Luxembourg,LUX,2001,20.838215
Luxembourg,LUX,2002,22.353651
Luxembourg,LUX,2003,23.129478
Luxembourg,LUX,2004,25.781944
Luxembourg,LUX,2005,25.949068
Luxembourg,LUX,2006,25.177423
Luxembourg,LUX,2007,23.532677
Luxembourg,LUX,2008,22.83615
Luxembourg,LUX,2009,21.316484
Luxembourg,LUX,2010,22.053823
Luxembourg,LUX,2011,21.38425
Luxembourg,LUX,2012,20.450043
Luxembourg,LUX,2013,18.999275
Luxembourg,LUX,2014,17.62919
Luxembourg,LUX,2015,16.388624
Luxembourg,LUX,2016,15.556185
Luxembourg,LUX,2017,15.508656
Luxembourg,LUX,2018,15.714555
Luxembourg,LUX,2019,15.721521
Luxembourg,LUX,2020,12.795942
Luxembourg,LUX,2021,13.134188
Luxembourg,LUX,2022,11.134566
Luxembourg,LUX,2023,10.2852545
Luxembourg,LUX,2024,10.459649
Malta,MLT,1996,6.5371246
Malta,MLT,1997,6.5430026
Malta,MLT,1998,6.4120502
Malta,MLT,1999,6.4824777
Malta,MLT,2000,6.1718907
Malta,MLT,2001,6.7940903
Malta,MLT,2002,6.773783
Malta,MLT,2003,7.2528267
Malta,MLT,2004,6.935497
Malta,MLT,2005,6.4109755
Malta,MLT,2006,6.3913054
Malta,MLT,2007,6.5383353
Malta,MLT,2008,6.4951987
Malta,MLT,2009,6.0857034
Malta,MLT,2010,6.1971707
Malta,MLT,2011,6.1422067
Malta,MLT,2012,6.4438725
Malta,MLT,2013,5.6706905
Malta,MLT,2014,5.563529
Malta,MLT,2015,3.8147235
Malta,MLT,2016,3.0220766
Malta,MLT,2017,3.2853162
Malta,MLT,2018,3.194038
Malta,MLT,2019,3.272104
Malta,MLT,2020,3.089255
Malta,MLT,2021,3.072962
Malta,MLT,2022,3.3590784
Malta,MLT,2023,3.317301
Malta,MLT,2024,3.2037206
Netherlands,NLD,1996,11.671497
Netherlands,NLD,1997,11.159401
Netherlands,NLD,1998,11.145193
Netherlands,NLD,1999,10.73093
Netherlands,NLD,2000,10.72025
Netherlands,NLD,2001,10.9662895
Netherlands,NLD,2002,10.850785
Netherlands,NLD,2003,11.008101
Netherlands,NLD,2004,11.085795
Netherlands,NLD,2005,10.818227
Netherlands,NLD,2006,10.505694
Netherlands,NLD,2007,10.466663
Netherlands,NLD,2008,10.598356
Netherlands,NLD,2009,10.21529
Netherlands,NLD,2010,10.880462
Netherlands,NLD,2011,10.049582
Netherlands,NLD,2012,9.798995
Netherlands,NLD,2013,9.720324
Netherlands,NLD,2014,9.248505
Netherlands,NLD,2015,9.584029
Netherlands,NLD,2016,9.579465
Netherlands,NLD,2017,9.372927
Netherlands,NLD,2018,9.084534
Netherlands,NLD,2019,8.708599
Netherlands,NLD,2020,7.7664127
Netherlands,NLD,2021,7.889522
Netherlands,NLD,2022,7.1213217
Netherlands,NLD,2023,6.4676642
Netherlands,NLD,2024,6.29691
Portugal,PRT,1996,5.145144
Portugal,PRT,1997,5.4071655
Portugal,PRT,1998,5.8281155
Portugal,PRT,1999,6.547137
Portugal,PRT,2000,6.369969
Portugal,PRT,2001,6.2956595
Portugal,PRT,2002,6.682252
Portugal,PRT,2003,6.1680245
Portugal,PRT,2004,6.421131
Portugal,PRT,2005,6.6304703
Portugal,PRT,2006,6.162616
Portugal,PRT,2007,5.9145875
Portugal,PRT,2008,5.680534
Portugal,PRT,2009,5.403325
Portugal,PRT,2010,4.9996824
Portugal,PRT,2011,4.9051266
Portugal,PRT,2012,4.7494764
Portugal,PRT,2013,4.603641
Portugal,PRT,2014,4.607092
Portugal,PRT,2015,5.03681
Portugal,PRT,2016,4.8626604
Portugal,PRT,2017,5.339853
Portugal,PRT,2018,4.972253
Portugal,PRT,2019,4.6004105
Portugal,PRT,2020,4.024692
Portugal,PRT,2021,3.8783576
Portugal,PRT,2022,3.9092069
Portugal,PRT,2023,3.6068447
Portugal,PRT,2024,3.4089074
Slovakia,SVK,1996,8.219317
Slovakia,SVK,1997,8.221393
Slovakia,SVK,1998,8.163563
Slovakia,SVK,1999,8.011809
Slovakia,SVK,2000,7.6555824
Slovakia,SVK,2001,8.044096
Slovakia,SVK,2002,7.8163185
Slovakia,SVK,2003,7.879032
Slovakia,SVK,2004,7.971774
Slovakia,SVK,2005,7.9709287
Slovakia,SVK,2006,7.9301777
Slovakia,SVK,2007,7.6310034
Slovakia,SVK,2008,7.7011194
Slovakia,SVK,2009,6.997327
Slovakia,SVK,2010,7.133786
Slovakia,SVK,2011,7.0478635
Slovakia,SVK,2012,6.653511
Slovakia,SVK,2013,6.5839057
Slovakia,SVK,2014,6.224689
Slovakia,SVK,2015,6.3701262
Slovakia,SVK,2016,6.444788
Slovakia,SVK,2017,6.6567197
Slovakia,SVK,2018,6.647537
Slovakia,SVK,2019,6.2108803
Slovakia,SVK,2020,5.7151237
Slovakia,SVK,2021,6.47673
Slovakia,SVK,2022,5.771668
Slovakia,SVK,2023,5.5755577
Slovakia,SVK,2024,5.282773
Slovenia,SVN,1996,8.054499
Slovenia,SVN,1997,8.321139
Slovenia,SVN,1998,8.103025
Slovenia,SVN,1999,7.7824874
Slovenia,SVN,2000,7.579839
Slovenia,SVN,2001,8.196871
Slovenia,SVN,2002,8.320522
Slovenia,SVN,2003,8.169682
Slovenia,SVN,2004,8.382396
Slovenia,SVN,2005,8.484075
Slovenia,SVN,2006,8.578714
Slovenia,SVN,2007,8.613562
Slovenia,SVN,2008,9.029033
Slovenia,SVN,2009,7.962925
Slovenia,SVN,2010,8.053124
Slovenia,SVN,2011,7.9871964
Slovenia,SVN,2012,7.677851
Slovenia,SVN,2013,7.3606315
Slovenia,SVN,2014,6.5917087
Slovenia,SVN,2015,6.6305976
Slovenia,SVN,2016,7.0186086
Slovenia,SVN,2017,7.097131
Slovenia,SVN,2018,7.03719
Slovenia,SVN,2019,6.7451043
Slovenia,SVN,2020,6.1229367
Slovenia,SVN,2021,6.186983
Slovenia,SVN,2022,6.017234
Slovenia,SVN,2023,5.6704106
Slovenia,SVN,2024,6.0184274
Spain,ESP,1996,6.276799
Spain,ESP,1997,6.5530524
Spain,ESP,1998,6.73725
Spain,ESP,1999,7.277729
Spain,ESP,2000,7.5392795
Spain,ESP,2001,7.5409565
Spain,ESP,2002,7.9277363
Spain,ESP,2003,7.8938184
Spain,ESP,2004,8.144856
Spain,ESP,2005,8.358881
Spain,ESP,2006,8.029218
Spain,ESP,2007,8.051333
Spain,ESP,2008,7.2517366
Spain,ESP,2009,6.350556
Spain,ESP,2010,6.032926
Spain,ESP,2011,6.02738
Spain,ESP,2012,5.9005117
Spain,ESP,2013,5.3800054
Spain,ESP,2014,5.4292984
Spain,ESP,2015,5.7889185
Spain,ESP,2016,5.554019
Spain,ESP,2017,5.83512
Spain,ESP,2018,5.701944
Spain,ESP,2019,5.284558
Spain,ESP,2020,4.441423
Spain,ESP,2021,4.793181
Spain,ESP,2022,4.8971643
Spain,ESP,2023,4.4970493
Spain,ESP,2024,4.599015
